,translated_question,translated_context,retriever_score,ranker_score,rank,native_context,native_question
0,What does the Federal Law do to relations arising from?,2. This Federal Law does not apply to relations arising from:,0.77028227,0.8021521,0,"2. Действие настоящего Федерального закона не распространяется на отношения, возникающие при:","Что делает Федеральный закон с отношениями, возникающими из?"
1,What does the Federal Law not apply to relations arising from:,2. This Federal Law does not apply to relations arising from:,0.9180303,0.9560128,0,"2. Действие настоящего Федерального закона не распространяется на отношения, возникающие при:","На что Федеральный закон не распространяется на отношения, возникающие из:"
2,What does the Federal Law not apply to relations arising from?,2. This Federal Law does not apply to relations arising from:,0.88451445,0.9472981,0,"2. Действие настоящего Федерального закона не распространяется на отношения, возникающие при:","На какие отношения, возникающие из чего, не распространяется действие Федерального закона?"
3,What Federal Law does not apply to relations arising from:,2. This Federal Law does not apply to relations arising from:,0.9183001,0.9568704,0,"2. Действие настоящего Федерального закона не распространяется на отношения, возникающие при:","Какой Федеральный закон не применяется к отношениям, возникающим из:"
4,What does the Federal Law not apply to relations?,2. This Federal Law does not apply to relations arising from:,0.8555095,0.912532,0,"2. Действие настоящего Федерального закона не распространяется на отношения, возникающие при:",На какие отношения Федеральный закон не распространяется?
5,What does the Federal Law do to relations arising from:,2. This Federal Law does not apply to relations arising from:,0.7781394,0.79977864,0,"2. Действие настоящего Федерального закона не распространяется на отношения, возникающие при:","Что распространяется Федеральным законом на отношения, возникающие из:"
6,What rights are not violated by the processing of personal data by individuals?,"1) processing of personal data by individuals solely for personal and family needs, if the rights of personal data subjects are not violated;",0.8379046,0.68812054,0,"1) обработке персональных данных физическими лицами исключительно для личных и семейных нужд, если при этом не нарушаются права субъектов персональных данных;",Какие права не нарушает обработка персональных данных физическими лицами?
7,What is the condition for the processing of personal data by individuals?,"1) processing of personal data by individuals solely for personal and family needs, if the rights of personal data subjects are not violated;",0.7873777,0.72490543,0,"1) обработке персональных данных физическими лицами исключительно для личных и семейных нужд, если при этом не нарушаются права субъектов персональных данных;",Каково условие обработки персональных данных физическими лицами?
8,What is the purpose of processing personal data by individuals solely for personal and family needs?,"1) processing of personal data by individuals solely for personal and family needs, if the rights of personal data subjects are not violated;",0.7590823,0.8492812,1,"1) обработке персональных данных физическими лицами исключительно для личных и семейных нужд, если при этом не нарушаются права субъектов персональных данных;",Какова цель обработки персональных данных физическими лицами исключительно для личных и семейных нужд?
9,"What is the procedure for the storage, acquisition, accounting and use of documents containing personal data of the Archival Fund of the Russian Federation?","2) organization of storage, acquisition, accounting and use of documents containing personal data of the Archival Fund of the Russian Federation and other archival documents in accordance with the legislation on archiving in the Russian Federation;",0.9060553,0.8417653,0,"2) организации хранения, комплектования, учета и использования содержащих персональные данные документов Архивного фонда Российской Федерации и других архивных документов в соответствии с законодательством об архивном деле в Российской Федерации;","Каков порядок хранения, комплектования, учета и использования документов, содержащих персональные данные Архивного фонда Российской Федерации?"
10,What is the purpose of the archival fund of the Russian Federation?,"2) organization of storage, acquisition, accounting and use of documents containing personal data of the Archival Fund of the Russian Federation and other archival documents in accordance with the legislation on archiving in the Russian Federation;",0.7555896,0.81357867,0,"2) организации хранения, комплектования, учета и использования содержащих персональные данные документов Архивного фонда Российской Федерации и других архивных документов в соответствии с законодательством об архивном деле в Российской Федерации;",Каково назначение архивного фонда Российской Федерации?
11,What is the purpose of the archival fund?,"2) organization of storage, acquisition, accounting and use of documents containing personal data of the Archival Fund of the Russian Federation and other archival documents in accordance with the legislation on archiving in the Russian Federation;",0.5948656,0.5374322,0,"2) организации хранения, комплектования, учета и использования содержащих персональные данные документов Архивного фонда Российской Федерации и других архивных документов в соответствии с законодательством об архивном деле в Российской Федерации;",Каково назначение архивного фонда?
12,What is the current status of the clause?,"3) the clause is no longer valid. (as amended by Federal Law No. 261-FZ of July 25, 2011)",0.64898914,0.5024319,1,3) пункт утратил силу. (в ред. Федерального закона от 25.07.2011 N 261-ФЗ),Каков текущий статус статьи?
13,What is considered a state secret?,4) processing of personal data classified in accordance with the established procedure as information constituting a state secret.,0.48819277,0.33499134,0,"4) обработке персональных данных, отнесенных в установленном порядке к сведениям, составляющим государственную тайну.",Что считается государственной тайной?
14,How many personal data are classified as a state secret?,4) processing of personal data classified in accordance with the established procedure as information constituting a state secret.,0.65106434,0.4962725,0,"4) обработке персональных данных, отнесенных в установленном порядке к сведениям, составляющим государственную тайну.",Какие персональные данные составляют государственную тайну?
